Wrong Word,Count
water,4
smell,3
life,3
use,2
yeah,2
could,2
doctors,1
wavid,1
let,1
us,1
foreignrest,1
room,1
like,1
hopefully,1
next,1
program,1
singing,1
bit,1
later,1
add,1
last,1
laundry,1
towel,1
reminds,1
section,1
minister,1
great,1
influence,1
whose,1
hair,1
unusual,1
input,1
tournament,1
heard,1
request,1
second,1
article,1
priced,1
pro,1
new,1
jaggi,1
getting,1
weather,1
know,1
wrapped,1
guy,1
balloon,1
wants,1
hear,1
maybe,1
grade,1
b,1
aiha,1
gets,1
prudence,1
pinch,1
film,1
slept,1
found,1
cold,1
cup,1
bed,1
cave,1
plane,1
god,1
see,1
pain,1
quiet,1
plate,1
goes,1
drawer,1
collapse,1
animals,1
cry,1
