Filename,Baseline Accuracy (%),Modified Accuracy (%),Baseline Text,Modified Text,Ground Truth
103.536_107.319.mp3,66.67,33.33, and the doctors taking the wavid's temperature., and the doctors taking the rabbits down the trail.,and the doctor is taking the rabbit is temperature
109.101_110.662.mp3,100.0,100.0, And then he's all better., and then he's all better.,and then he is all better
116.372_119.993.mp3,0.0,27.27, there., the rabbit's you see and all the balloon and you leave.,the rabbit sees the animal with a balloon and he waves
122.054_125.555.mp3,83.33,83.33, The rabbit is getting the balloon., The rabbit is getting grabbing the balloon.,the rabbit is grabbing the balloon
127.676_130.156.mp3,88.89,100.0, And now the weather is playing with the balloon., And now the rabbit is playing with the balloon.,and now the rabbit is playing with the balloon
131.617_134.318.mp3,87.5,87.5, by accident he let go of it., by accident he let go of it,and by accident he let go of it
135.738_137.579.mp3,33.33,100.0, I know it's wrapped in this guy., And now it's way up in the sky.,and now it is way up in the sky
139.219_141.56.mp3,87.5,100.0, and then they see a man with balloon., and then they see a man with balloons.,and then they see a man with balloons
143.934_147.117.mp3,100.0,88.89, and the bunny asks if he can get one., the bunny asks if he can get one.,and the bunny asks if he can get one
156.604_159.866.mp3,100.0,90.91, And then he frowns because he doesn't have any money., And then he flaps because he doesn't have any money.,and then he frowns because he does not have any money
161.588_165.851.mp3,91.67,91.67, And then he wants to his dad or his mom or whatever.," And then he wants to his dad, or his mom, or whatever.",and then he runs to his dad or his mom or whatever
167.512_171.035.mp3,88.89,100.0," And he asks, what to buy him a balloon.", and he asks her to buy him a balloon.,and he asks her to buy him a balloon
181.605_186.566.mp3,30.0,30.0," Okay, the Jurassic is, and I'll dance in no ball."," Okay, the duoscently is an about single ball.",okay the giraffe and the elephant are bouncing a ball
188.146_189.626.mp3,80.0,80.0, it goes into the prudence., it goes into the poor.,it goes into the pool
189.646_197.128.mp3,25.0,50.0, Yeah. Yeah. Pinch your story., The... Uhh... It's your story.,it is your story
204.56_207.241.mp3,100.0,100.0, and then he brings it out to the elephant., and then he brings it out to the elephant.,and then he brings it out to the elephant
224.644_227.505.mp3,66.67,77.78, and a film to go off the diving board., LFL wants to go off the diving board.,the elephant wants to go off the diving board
229.045_230.026.mp3,50.0,100.0, She slept., She slips.,she slips
233.433_236.374.mp3,28.57,28.57, She found she could only..., She found she could have me.,she fell and she hurt her knee
238.335_240.696.mp3,28.57,42.86, And now the life's cold cup is rushing over.," And now that life's called, comes rushing over.",and now the lifeguard comes rushing over
247.059_250.921.mp3,88.89,44.44, And then the elephant walks over to the bed., and then the at an event box over to the bed.,and then the elephant walks over to the bench
258.364_261.205.mp3,0,100.0," It's a cave, the giraffe."," Okay, the giraffe.",okay the giraffe
261.967_264.289.mp3,44.44,44.44, as the airplane on the plane with it., and also airplane and airplane with it.,has the airplane and they are playing with it
284.245_286.307.mp3,80.0,80.0, and then the giraffe is mad., and the giraffe is mad.,then the giraffe is mad
288.569_290.17.mp3,0.0,33.33, and life's God., and the life God.,and the lifeguard
290.883_292.744.mp3,33.33,50.0, see some pain into the water., see some pain in the water.,sees the plane in the water
294.686_297.368.mp3,100.0,83.33, and the elephant explains what happened., and the elephant explains what happens.,and the elephant explains what happened
299.289_301.71.mp3,70.0,70.0, and the life could just stretch out and get it., the life-conscious to stretch out and get it.,and the lifeguard tries to stretch out and get it
303.512_307.554.mp3,75.0,75.0, but then he can reach it and the giraffe is quiet., But then he can reach it and the giraffe is quite...,but then he could not reach it and the giraffe is crying
319.153_321.796.mp3,88.89,100.0, and she grabs the plate out with the net., and she grabs the plane out with the net.,and she grabs the plane out with the net
323.858_325.72.mp3,66.67,88.89, And then she goes back to the drawer., and then she gives her back to the giraffe.,and then she gives it back to the giraffe
327.342_329.024.mp3,83.33,83.33, And then the giraffe hugs him., and then the giraffe hugs.,and then the giraffe hugs it
60.945_61.585.mp3,0.0,0.0, collapse., collapse.,it collapsed
63.426_65.447.mp3,57.14,85.71, And now the other animals cry., And now the other animal is quiet.,and now the other animal is crying
70.888_74.69.mp3,100.0,100.0, The animal sees the rabbit and he's waving., the animal sees the rabbit and he's waving.,the animal sees the rabbit and he is waving
76.85_79.331.mp3,100.0,57.14, they decide to have a picnic together., they just like to have a pick together.,they decide to have a picnic together
88.803_90.905.mp3,100.0,100.0, Now the rabbit feels really bad., Now the rabbit feels really bad.,now the rabbit feels really bad
93.467_95.369.mp3,100.0,100.0, and now the doctor comes., And now the doctor comes.,and now the doctor comes
97.491_101.414.mp3,100.0,100.0, and the animal is pulling the doctor to the rabbit., and the animal is pulling the doctor to the rabbit.,and the animal is pulling the doctor to the rabbit
